a	b	c	d	e	f	g	h	i	j
335	1.25	1.04	1.73	2.12	4.52	1.81	14.21	17.44	1.21	1.23
336	3.83	1.27	26.18	2.34	1.73	23.16	3.82	4.21	1.59	13.34
337	4.45	1.29	13.1	4.77	5.6	2.28	8.14	3.3	29.25	7.18
338	1.56	7.44	1.31	25.08	5.19	7.99	2.35	2.7	25.11	13.14
339	8.46	18.03	21.56	3.68	2.78	4.44	1.18	14.09	3.11	1.31
340	27.34	17.05	1.5	2.24	3.2	24.74	3.31	26.45	4.82	26.22
341	28.16	19.52	7.96	28.94	1.16	20.31	0.93	1.69	1.57	1.74
342	1.92	17.8	2.57	1.07	2.16	2.49	4.58	2.05	7.28	14.57
343	5.43	15.8	3.11	3.11	6.6	1.33	11.15	8.73	3.28	3.41
344	4.41	1.3	5.54	1.67	3.92	1.71	1.94	3.1	3.68	1.46
345	8.9	6.29	7.64	2.53	1.16	15.16	21.78	3.57	1.61	7.03
346	2.31	3.82	4.64	2.43	1.48	3.14	5.63	10.56	7.45	1.42
347	4.06	8.58	2.82	0.77	1.17	4.95	1.28	17.79	0.96	19.68
348	1.62	26.12	1.11	5.55	5.03	12.32	3.96	1.04	2.15	17.5
349	3.83	1.93	3.22	30.56	4.75	7.71	12.24	4.34	1.7	2.8
350	11.64	4.62	20.66	1.14	22.51	20.87	11.5	2.49	26.46	17.26
351	5.15	2.53	21.6	5.91	8.75	16.61	8.49	11.21	6.94	22.79
352	1.32	8.14	1.95	1.12	2.53	2.51	3.39	26.06	2.42	29.64
353	16.84	3.8	29.64	3.08	24.7	1.11	13.93	14.95	3.85	7.97
354	4.39	20.87	19.39	6.21	6.25	4.68	1.14	6.38	4.04	9.65
355	28.87	1.81	1.21	12.56	1.52	6.39	22.76	17.69	3.1	3.66
356	2.6	16.41	3.99	9.71	4.73	1.95	3.36	19.8	1.31	5.01
357	19.6	15.73	1.15	1.77	18.78	20.24	7.3	1.56	8.67	19.16
358	1.08	8.09	13.28	5.39	1.27	9.91	4.37	26.21	31.44	16.75
359	20.57	1.37	1.56	1.54	2.87	9.24	2.33	18.56	0.96	12.38
360	4.01	9.98	30.36	2.97	1.29	15.34	1.56	2.52	20.72	12.23
361	1.61	1.75	8.64	1.59	27.34	5.8	30.68	1.25	1.16	10.36
362	3.44	2.02	1.42	2.96	11.93	24.46	23.81	4.62	13.02	2.84
363	21.76	1.42	1.9	6.28	2.58	16.29	28.85	3.23	10.17	13.37
364	2.8	0.98	16.19	4.22	3.01	32.13	7.41	4.58	7.1	2.74
365	7	10.1	10.15	9.15	15.04	4.46	19.96	7.59	5.11	1.37
366	19.23	2.06	1.58	3.43	22.35	6.29	11.93	2.17	9.61	8.67
367	1.14	1.34	7.58	1.14	19.81	1.47	4.62	4.61	15.93	4.82
368	12.49	0.97	6	1.31	28.56	3.51	4.04	7.92	1.52	3.43
369	10.02	10.91	2.96	28.7	1.38	9.97	10.64	31.49	6.94	13.17
370	5.77	1.04	2.52	2.82	7.66	14.98	1.44	2.36	6.69	28.19
371	4.85	18.64	2.9	2.15	3.72	6.58	2.71	6.18	22.76	30.62
372	7	1.34	1.51	1.69	2.19	8.04	1.66	25.59	3.64	3.68
373	26.03	6.33	1.56	10.44	3.76	5.34	19.84	29.41	1.32	3.54
374	2.04	9.77	2.89	5.73	14.3	26.01	1.11	1.34	2.12	1.21
375	2.23	11.36	14.12	11.08	3.52	6.18	9.54	17.99	2.72	8.35
376	3.94	8.81	25.72	2.9	5.51	7.4	4.01	21.07	8.19	5.16
377	3.26	2.84	34.85	6.83	13.78	1.71	1.08	4.14	9.53	14.25
378	19.85	33.62	2.6	12.34	3.61	10.86	1.58	3.25	6.58	2.88
379	1.37	10.97	2.66	4.49	1.33	3.65	2.06	1.54	13.03	5.86
380	6.21	1.17	1.27	2.32	18.57	11.08	4.45	26.83	15.75	1.1
381	4.58	1.33	1.49	2.02	13.74	18.78	1.01	3.8	1.74	6.8
382	7.01	5.64	3.64	24.6	2.62	2.21	10.53	2.94	1.22	4.01
383	10.05	5.89	2.05	5.87	9.07	5.32	21.76	2.7	25.64	18.07
384	32.07	2.31	3.23	29.46	2.65	1.28	18.7	2.01	12.79	16.99
385	2.36	1.07	12.81	11.83	2.74	24.78	4.15	1.72	1.28	2.72
386	2.18	7.04	11.47	10.29	5.11	6.4	3.7	8.87	2.1	4.2
387	16.15	3.72	14.01	1.59	10.67	9.89	1.87	2.14	13.26	1.31
388	21.65	7.39	3.61	11.28	22.56	9.71	3.45	22.67	20.73	6.58
389	1.46	18.33	30.46	3.53	4.47	2.15	4.38	24.25	11.87	1.26
390	30.01	13	3.46	2.2	20.87	14.17	20.94	1.73	1.53	1.99
391	1.63	10.8	1.44	2.4	23.84	1.03	8.97	18.31	7.74	4.1
392	1.43	24.41	19.11	1.66	17.32	2.8	5.07	1.27	3.2	10.3
393	26.2	3.8	6.74	1.91	15.86	16.32	2.05	11.29	1.48	0.97
394	5.29	1.55	32.19	25.21	15.77	9.9	5.63	15.92	23.82	10.26
395	1.43	1.68	4.72	24.1	5.93	3.23	5.14	1.5	7.5	1.43
396	4.19	1.44	2.19	2.71	28.67	13.76	1.87	6.79	11.22	12.32
397	9.91	1.94	1.33	1.3	2.44	2.62	2.61	0.94	24.1	1.75
398	2.75	18.88	22.08	4.96	20.75	7.77	1.64	2.77	27.12	7.81
399	3.63	2.36	2.35	25.19	13.92	13.51	13.69	5.86	1.92	1.6
400	1.65	13.79	4.19	9.14	1.5	21	5.94	1.76	13.33	22.05
401	9.35	8.72	1.8	21.24	4.29	22.5	28.85	2.51	30.12	22.33
402	1.98	6.52	18.41	3.11	1.79	1.1	9.89	18.4	15.05	11.16
403	22.29	1.8	7.84	1.28	3.63	2.27	15.91	4.38	4.03	9.52
404	19.94	1.04	6.3	15.99	1.17	6.93	23.67	4.36	16.12	12.85
405	26.59	31.27	20.83	3.51	19.94	5.03	5.42	20.99	1.49	24.08
406	12.56	17.35	2.93	4.65	1.94	10.74	1.05	22.01	24.19	3.39
407	3.03	7.37	1.39	18.6	2.06	2.84	12.31	1.25	4.09	15.51
408	14.57	3.24	2.32	21.32	1.64	1.75	1.43	2.1	2.62	2.13
409	0.9	1.97	2.98	2	8.14	1.75	20.03	5.29	2.32	1.27
410	28.19	15.81	7.41	1.07	4.22	18.23	4.05	0.95	2.92	2.84
411	31.07	8.53	24.04	25.3	9.89	2.48	1.54	16.72	1.38	10.65
412	3.15	13.34	14.91	9.22	9.84	3.65	18.49	8.05	19.39	11.42
413	14.48	4.66	0.83	0.81	12.01	11.03	2.49	5.26	5.66	18.56
414	18.42	1.31	27.51	0.97	1.12	21.19	26.13	4.07	9.48	7.22
415	12.72	3.35	23.86	11.51	17.54	25.06	9.55	2.08	4.18	1.42
416	5.32	9.98	8.35	1.84	8.93	7.45	1.49	19.94	17.02	1.2
417	5.27	13.45	1.2	21.27	3.6	1.15	1.36	15.89	0.99	4.67
418	2.25	3.93	5.9	8.42	14.79	4.06	4.4	31.17	5.1	1.79
419	11.23	7.3	1.38	7.68	14.67	1.51	21.94	1.81	13.92	1.26
420	18.49	17.89	7.36	14.74	11.66	15.23	14.69	4.88	1.2	4.88
421	4.69	18.09	3.85	3.77	21.43	3.31	5.68	11.25	6.24	6.52
422	5.19	1.04	2.81	6.58	4.04	7.78	15.34	2.01	12.6	8.13
423	11.49	2.87	1.98	4.05	14.04	11.14	0.96	16.67	3.02	22.33
424	1.51	11.93	16.71	2.25	2.17	1.88	17.04	9.38	28.27	21.11
425	2.47	29.8	17.09	4.11	11.57	4.08	2.22	8.99	7.83	2.98
426	4.21	1.73	7.18	20.44	2.08	1.67	23.16	6.87	15.26	28.03
427	1.39	1.26	3.19	32.19	2.77	20.94	2.82	2.03	12.49	1.29
428	21.11	7.39	1.77	2.78	11.4	3.03	15.62	2.55	12.7	31.64
429	21.16	6.65	12.02	24.8	15.16	8.06	2.03	15.28	22.95	9.45
430	20.09	1.38	7.55	30.09	2.14	6.35	23.52	4.66	2.48	10.6
431	27.85	11.17	2.89	1.71	3.14	1.85	25.99	3.58	3.65	1.14
432	1.04	23.95	1.07	4.02	8.51	1.79	2.21	3.8	1.38	1.47
433	3.39	22.92	9.04	5.43	4.7	1.73	4.42	3.29	2.57	13.29
434	7.49	3.3	5.73	21.94	12.36	1.3	3.28	19.56	5.97	1.77
435	1.11	1.56	32.75	1.48	25.32	11.98	6.63	6.69	25.85	2.95
436	12.37	17.93	3.44	20.05	18.28	20.78	1.26	7.3	2.2	1.16
437	13.04	1.44	24.65	6.5	10.41	8.68	1.67	1.43	13.55	3.49
438	1.08	18.73	13.55	1.61	9.14	2.05	3.69	23.31	7	2.73
439	5.78	27.31	10.32	2.29	12.83	7.12	3.1	22.69	10.22	1.55
440	25.55	5.41	17.65	5.61	2.59	4.82	1.52	23.41	28.43	21.55
441	1.13	10.28	6.96	3.76	8.17	3.17	4.44	2.1	7.4	3.57
442	3.02	2.08	5.36	27.49	11.63	15.75	0.86	3.24	2.97	32.35
443	5.94	13.54	29.14	12.15	5.28	5.63	1.39	1.35	8.5	3.78
444	8.24	7.34	11.49	8.21	2.82	2.59	4.48	22.91	1.09	1.46
445	2.25	1.79	1.71	4.71	29.34	2.36	18.49	15.5	4.4	10.41
446	4.51	11.44	8.82	21.77	1.18	8.63	2.17	1.79	15.96	7.6
447	4.14	31.95	12.36	8.06	2.96	24.06	11.06	2.03	24.25	3.75
448	22.78	6.84	12.26	5.84	0.98	14.24	6.69	12.4	2.85	22.67
449	1.56	6.11	2.59	21.69	1.31	1.42	2.63	3.44	4.18	5
450	1.2	1.83	1.84	1.47	1.18	30.98	1.54	11.09	3.25	2.06
451	27.67	11.32	31.5	1.25	4.73	3.28	22.26	5.18	3.58	14.04
452	3.85	13.19	5.89	23.61	26.11	1.08	1.67	22.78	1.51	24.31
453	3.76	4.78	3.63	13.83	1.06	2.77	6.55	6.64	2.8	6.28
454	1.34	1.59	4.46	1.86	4.04	29.07	1.88	4.18	1.68	1.25
455	1.19	14.71	4.98	2.75	2.97	30.33	1.83	5.98	10.03	24.91
456	11.18	14.97	18.72	3.3	4.54	20.78	4.45	16.08	12.33	3.69
457	6.93	3.18	19.41	19.66	1.95	1.7	3.22	6.75	1.7	12.83
458	34.17	32.61	3.02	1.35	3.27	2.77	1.09	3.04	1.26	2.65
459	9.36	27.89	11.88	5.24	1.08	14.64	1.05	24.25	2.02	24.54
460	1.03	10.05	23.63	5.55	1.32	6.23	11.05	15.61	6.9	1.03
461	1.48	24.96	1.48	1.54	3.62	6.1	18.59	1.49	21.46	4.26
462	5.37	0.83	8.12	3.88	1.29	14.22	24.71	2.9	4.17	2.17
463	1.12	1.32	3.65	12.88	17.49	3.21	3.02	23.77	0.88	1.28
464	4.11	4.85	3.42	19.87	12.09	6.61	4.17	14.84	5.13	3.87
465	2.59	2.31	9.01	5.02	2.84	11.33	5.85	3.88	13.94	3.97
466	24.05	12.43	7.2	6.51	29.3	24.61	1.12	16.04	1.33	2.99
467	11.47	5.95	1.26	12.85	2.43	6.04	3.91	4.32	5.22	5.2
468	1.89	11.5	4.45	17.12	7.43	1.16	5.27	1.17	3.36	31.13
469	5.26	1.28	2.16	1.71	3.03	6	25.37	15.8	24.27	9.78
470	9.04	5.25	18.01	11.23	27.5	23.74	16.17	1.35	1.8	7.85
471	4.83	1.58	3.86	3.29	28.79	2.74	1.19	2.1	22.13	15.67
472	27.84	4.93	1.97	1.82	28.68	30.04	2.45	17.55	24.6	20.32
473	9.02	3	1.92	6.49	25.23	16.44	5.85	3.44	2.23	1.93
474	4.55	1.25	1.17	18.96	13.89	1.98	6.76	21.51	6.16	3.91
475	1.6	12.24	1.89	3.13	1.92	6.67	5.47	2.46	4.36	1.24
476	2.46	15.26	7.95	4.19	11.19	10.43	1.33	1.83	25.18	11.08
477	22.62	5.85	10.9	3.18	3.65	5.47	5.45	1.89	0.91	1.47
478	5.3	0.95	9.33	1.07	4.52	1.66	3.87	3.87	3.96	3.35
479	5.66	2.71	3.69	8.37	21.85	19.95	3.02	24.9	3.95	1.52
480	11.02	20.41	9.85	2.03	13.83	8.52	1.62	17.53	3.94	1.01
481	13.99	5.15	3.78	1.73	9.08	0.92	3.12	1.7	13.07	27.22
482	1.8	12.2	16.54	3.37	1.04	12.45	4.95	4.07	5.11	1.66
483	20.03	32.66	21.55	5.14	5.26	7.91	7.09	5.76	3.16	13.92
484	26.37	14.2	31.58	22.15	20.02	8.11	1.81	4.36	25.89	2.26
485	7.28	25.34	8.76	1.49	5.2	4.26	1.63	14.92	1.75	17.91
486	5.88	5.05	1.35	9.55	5.25	27.85	2.54	9.84	4.22	24.86
487	1.88	9.95	21.19	11.49	25.05	19.04	26.67	14.27	10.02	9.49
488	1.03	4.92	2.74	6.54	7.31	4.01	21.51	3.39	13.43	9.38
489	22.42	15.88	18.56	2.04	1.38	3.48	3.24	2.54	3.84	11.31
490	1.1	24.18	1.95	0.9	6.09	11.94	29.29	1.25	9.82	2.58
491	1.27	2.76	12.25	20.36	2.3	3.72	30.62	16.93	15.19	4.52
492	24.01	8.18	3.26	5.94	5.08	1.3	2.78	7.47	6.79	2.13
493	2.43	5.82	3.82	6.78	10.19	3.49	2.53	2.1	1.42	6.67
494	1.65	31.06	5.03	8.95	21.98	1.68	1.03	3	2.42	2.56
495	3.65	8.6	10.01	7.37	4.01	10	5.35	6.84	1.06	3.66
496	4.98	1.7	16.48	5.98	4.57	5.12	2.67	1.12	7.85	5.87
497	5.66	2.71	9.66	11.14	1.7	1.41	1.15	5.43	2.71	3.33
498	6.74	26.95	18.86	18.98	27.82	1.88	2.16	4.59	3.76	2.64
499	19.46	2.75	28.91	11.62	9.8	2.5	15.8	8.47	3.3	18.89
500	1.05	7.33	11.76	1.31	3.5	16.09	2.62	16.44	9.48	3.81
501	7.47	11.44	2.77	8.99	3.25	2.52	1.23	20.07	3.53	19.04
502	10.73	6.91	2.3	4.49	2.19	3.73	5.22	1.87	1.75	30.07
503	9.67	3.3	26.93	1.65	3.96	1.27	0.78	3.61	8.99	18.21
504	9.73	2.44	3.32	1.68	9.15	22.6	1.86	4.93	4.91	2.92
505	5.09	4.76	7.6	2.26	7.22	11.62	1.26	1.3	5.46	1.17
506	33.41	13.13	8.02	17.36	1.08	2.14	11.86	4.08	20.52	6.55
507	4.05	3.79	1.81	1.04	3.14	4.05	4.24	4.91	23.91	2.11
508	18.05	5.72	2.14	1.63	8.66	5.62	5.14	3.6	1.35	1.12
509	10.98	15.92	31.04	5.7	1.22	25.15	3.62	3.83	1.38	2.22
510	6.23	11.47	16.95	1.07	22.67	1.46	1.63	17.97	16.76	23.71
511	19.73	10.07	12.68	23.48	1.35	3.01	2.56	13.7	4.04	19.05
512	4.96	1.3	1.26	24.38	1.49	1.33	27.77	2.1	12.18	13.63
513	1.06	3.45	1.21	1.81	2.92	27.72	2.05	12.36	6.15	2.2
514	12.68	3.99	7.6	18.29	1.72	17.47	32.26	3.25	19.51	2.94
515	13.78	3.92	3.23	10.06	1.9	29.17	27.71	2.03	23.52	1.4
516	2.06	7.81	18.24	1.68	2.38	7.34	1.59	1.96	1.14	26.03
517	8.27	19.6	4.92	12.47	15.18	1.04	5.43	2.17	5.29	1.74
518	4.98	5.61	7.69	2.51	1.1	6.44	2.73	2.14	8.33	7.64
519	2.98	4.69	1.27	5.97	5.22	4.76	6.72	4.49	22.11	1.85
520	8.62	21.94	5.58	3.16	1.29	2.1	14.62	29.57	2.62	9.3
521	18.19	22.31	27.66	1.65	1.07	3.96	2.08	3.84	1.14	9.65
522	11.23	1.36	12.1	3.44	6.03	1.65	23.24	3.66	4.17	29.79
523	3.14	5.06	15.36	3.03	6.13	20.54	1.04	9.91	4.12	10.99
524	1.76	12.67	12.94	1.16	12.77	4.45	2.7	9.11	25.27	29.94
525	3.93	3.45	3.09	22.54	17.29	7.59	32.06	2.79	4.02	1.15
526	26.68	1.22	1.58	5.28	3.64	1.29	2.78	2.14	12.65	8.17
527	14.34	1.05	3.19	13.75	2.57	17.78	18.98	1.11	21.73	6.37
528	12.38	11.87	4.31	13.54	2.92	1.84	16.65	1.96	1.43	8.17
529	25.93	2.3	8.8	10.68	7	20.35	17.54	21.73	13.82	18.98
530	30.54	23.16	1.77	3.4	12.75	2.1	21.58	2.98	11.62	32.85
531	7.79	1.5	1.47	31.28	32.67	1.26	10.87	9.17	3.11	15.21
532	1.35	29.43	3.37	1.5	24.02	9.52	2.93	22.47	18.23	27.99
533	2.75	31.9	2.49	3.81	15.06	2.33	2.89	2.05	1.24	6.54
534	2.76	1.42	17.36	4.43	9.04	8.8	15.01	12.5	2.02	14.24
535	1.6	10.08	5.96	7.31	2.78	3.81	5.86	7.58	2.26	0.99
536	1.33	16.59	10.72	7.85	9.93	1.9	8.79	1.32	4.61	14.06
537	3.28	11.52	6.51	14.82	1.01	7.98	1.74	2.63	5.78	5.73
538	2.97	2.68	1.9	1.83	9.46	7.86	9.87	4.35	7.85	0.94
539	2	5.65	22.52	4.88	2.32	5.5	22.47	1.48	3.37	3.47
540	8.64	19.41	18.55	3.55	2.64	3.25	11.6	7.64	32.4	32.61
541	5.64	1.06	8.81	16.98	3.38	1.18	16.07	3.49	19.47	4.01
542	29.81	29.53	2.25	1.49	1.36	3.23	3.85	4.11	9.42	1.87
543	8.49	3.98	4.48	11.37	1.72	24.06	7.98	20.15	1.31	2.99
544	3.19	24.72	26.21	28.69	20.87	3.07	4.83	9.78	1.58	4.52
545	2.39	5.48	3.37	4.6	2.29	5.79	4.28	17.61	2.52	3.07
546	1.59	1.16	0.87	1.77	8.44	1.13	16.33	12.2	1.45	1.19
547	29.14	1.57	21.3	4.61	26.74	1.77	1.61	2.15	10.93	7.54
548	3.38	13.76	11.84	7.83	22.47	19	1.57	30.67	5.8	11.78
549	7.18	9.12	2.36	1.06	28.5	24.42	7.24	10.69	18.95	29.6
550	12.52	13.05	1.4	3.86	16.86	6.53	6.48	2.43	7.63	4.04
551	21.16	28.74	12.46	2.28	5.85	2.43	30.79	1.96	9.58	25.68
552	6.68	3.47	27.16	20.07	3.33	8.74	4.08	4.6	9.79	5.76
553	1.04	5.89	8.13	6.23	1.32	26.83	15.97	0.99	1.73	2.3
554	24.81	6.04	3.03	4.33	1.41	1.24	17.05	2.92	7.25	2.13
555	15.3	20.32	7.97	23.04	6.33	13.67	15.23	4.16	25.82	3.66
556	3.59	5.27	21.59	2.14	7.76	16.69	2.13	13.22	3.67	2.92
557	1.22	3.17	16.83	2.64	8.32	4.4	26.79	2.32	4.73	13.68
558	1.79	6.99	7.07	1.15	6.69	3.49	1.64	12.75	5.03	12.78
559	15.61	6.66	1.87	1.35	4.6	1.42	22.11	9.04	1.02	30.47
560	17.98	27.65	8.09	2.33	27.03	15.33	1.4	19.63	1.05	12.41
561	9.54	30.04	5.33	4.01	6.41	15.02	29.82	0.95	6.87	9.48
562	1.73	0.9	4.54	15.33	20.4	1.14	5.68	9.04	4.77	4.1
563	2.98	14.38	4.35	5.58	2.08	1.58	14.71	11.74	11.31	6.1
564	10.14	5.44	22.25	2.77	5.03	9.26	15.89	7.78	1.23	1.73
565	23.14	25.4	1.1	1.17	1.81	20.97	1.07	3.44	14.08	1.35
566	11.27	3.05	7.39	1.84	32.55	6.23	1.46	4.76	8.91	3.76
567	2.14	2.77	10.1	1.1	20.66	11.08	2.45	4.04	3.64	22.26
568	9.58	6.1	4.88	21.39	4.78	1.97	11.82	1.65	7.56	1.02
569	2.52	21.26	28.76	1.64	3.12	20.65	7.04	1.49	10.77	6.15
570	32.31	1.73	5.07	7.68	16.41	5.21	5.04	5.65	1.57	10.73
571	1.88	29.72	1.59	20.95	1.95	1.76	2.73	6.71	11.15	1.43
572	5.09	7.54	16.23	24.6	13.89	4.92	13.83	15.59	1.25	7.14
573	2.23	20.45	26.87	1.31	22.76	2.52	6.89	2.32	17.95	6.59
574	1.17	17.14	23.8	22.47	20.01	0.91	17.06	30.13	1.48	2.24
575	19.41	6.36	6.94	9.34	5.87	2.69	9.95	5.16	7.54	4.53
576	7.11	18.31	3.7	1.11	10.76	3.19	6.98	1.2	13.2	11.78
577	10.97	23.6	23.21	7.36	29.56	2.54	4.83	5.57	21.46	7.62
578	3.43	1.14	14.69	0.98	1.98	7.71	2.44	1.62	4.11	4.08
579	19.89	5.01	1.9	13.99	2.37	13.16	18.07	11.19	19.06	24.32
580	14.52	1.69	26.53	16.56	3.78	5.17	21.48	4.43	2.22	29.43
581	3.52	1.53	14.6	13.59	4.16	4.61	2.73	4.6	11.8	7.52
582	22.5	1.46	32.06	1.93	6.53	2.05	5.36	7.55	2.68	1.66
583	9.22	11.44	2.83	31.77	13.53	1.45	29.5	3.01	2.13	11.09
584	1.05	7.16	19.81	1.22	1.96	8.44	5.59	28.03	10.33	3.13
585	9.77	5.8	2.58	9.33	11.77	3.1	1.79	17.56	27.21	2.06
586	3.87	14.29	2.04	0.94	28.16	5.55	20.78	9.93	2.04	4.94
587	1.37	4.61	9.82	2.31	6.01	1.74	5.38	16.24	19.69	9.75
588	5.32	1.07	15.02	6.71	2.39	1.45	8.44	2.22	6.39	28.44
589	27.94	27.46	20.05	5.91	6.76	5.33	0.98	1.01	1.53	9.82
590	12.28	12.69	1.6	27.13	12.04	6.66	8.47	17.88	3.31	23.01
591	5.87	4.06	8.63	1.53	2.09	3.26	6.11	3.21	20.81	19.73
592	2.38	4.27	32.56	16.18	7.73	2.73	7.16	8.99	20.31	16.91
593	13.85	12.34	3.07	2.69	18.78	5.51	3.72	9.06	24.21	20.19
594	8.54	1.17	1.03	4.53	12.06	1.41	5.36	4.86	3.03	2.36
595	19.74	0.98	23.44	2.5	19.31	12.01	1.64	2.71	3.47	1.6
596	8.61	11.34	24.35	14.85	10.86	12.69	21.06	10	5.99	19.33
597	4.85	1.37	3.51	4.93	7.24	3.33	1.01	6.71	3.4	3.6
598	4.59	2.31	18.24	3.72	5.12	4.28	22.53	21.99	16.58	1.24
599	2.86	2.47	16.23	1.86	8.17	2.5	2.17	1.34	1.11	23.37
600	4.19	1.03	21.35	0.99	3.72	6.64	5	30.88	1.19	9.37
601	15.38	3.58	1.48	1.2	21.71	10.15	11.64	2.05	15.77	22.9
602	21.6	1.56	9.56	12.89	2.81	2.77	1.42	5.95	21.6	12.4
603	1.82	3.03	15.62	25.11	8.06	5.4	4.04	1.6	5.99	12.12
604	15.12	2.14	17.14	13.52	25.41	25.06	15.43	1.85	3.7	6.15
605	24.91	17.34	1.87	24.18	27.21	1.23	6.51	1.84	27.66	2.49
606	33.84	1.4	1.99	1.43	5.33	4.29	7.55	8.94	1.96	2.65
607	3.89	0.96	3.47	11.33	7.32	14.33	3.69	4.3	2.64	15.16
608	3.17	2.38	1.7	1.02	9.76	3.72	7.97	13.11	8.15	1.87
609	24.66	13.27	1.45	2.03	1.19	1.63	3.17	1.24	0.97	6.89
610	1.38	8.91	7.53	2.27	11.08	10.74	32.27	16.41	9.87	9.55
611	27.03	14.45	30.05	7.89	1.76	2.73	1.29	8.24	2.02	9.35
612	2.97	2.93	14.3	3.41	3.55	29.89	4.53	11.76	24.77	17.39
613	6.3	7.69	1.36	4.03	23.41	2.98	27.95	10.58	28.17	3
614	7.3	2.64	14.22	24.59	28.28	15.25	23.34	22.53	2.1	7.04
615	11.98	19.02	7.05	6.5	3.52	1.46	4.1	6.21	11.3	14.44
616	4.44	2.44	1.21	5.07	6.94	10.1	5.1	1.22	1.04	4.47
617	1.61	23.68	6.64	4.19	4.53	6.41	1.46	8.05	0.96	1.17
618	3.01	11.09	19.49	4.52	25.24	31.49	4.37	1.17	1.89	15.45
619	8.86	2.25	2.19	7.83	11.74	2.2	20.41	23.63	3.44	1.73
620	1.22	31.35	3.66	33.26	20.36	4.66	1.29	1.2	17.02	5.36
621	16.68	10.72	7.55	4.4	1.82	1.14	18.53	3.87	26.85	10.72
622	1.85	10.48	2.66	9.42	1.52	1.56	8.31	3.68	1.54	4.86
623	6.81	2.86	11.71	15.88	21.69	1.6	21.93	5.34	1.08	22.78
624	1.55	3.37	8.18	10.49	3.38	2.17	2.7	3.78	1.03	1.76
625	3.01	2.92	14.8	10.05	14.27	15.21	26.48	15.39	1.13	31.01
626	9.14	1.09	1.09	1.65	3.87	11.44	1.96	1.49	1	5.28
627	2.18	1	0.79	0.93	1.75	8.89	0.97	1.49	2.6	5.46
628	7.93	15.73	2.04	13.36	25.85	3.8	1.12	1.72	4.1	1.62
629	5.32	2.45	1.78	3.11	6.42	1.46	13.27	12.9	25.72	4.53
630	26.21	2.34	1.38	4.21	18.06	4.81	1.02	1.09	27.22	18.63
631	14.66	10.77	5.12	9.31	28.05	9.2	19.93	9.02	2.35	28.31
632	3.76	3.81	1.32	3.71	13.39	4.51	2.61	27.96	5.78	15.96
633	2.31	18.5	5.21	2.72	20.46	2.87	9.35	0.92	22.22	26.03
634	19.22	9.1	7.67	1.86	2.05	8.98	5.84	31.05	6.87	17.38
635	4.49	5.42	2.57	1.41	3.26	14.54	1.54	3.45	15.23	1.61
636	3.05	9.63	2.93	2.81	2.47	11.58	10.95	1.52	2.52	28.04
637	1.6	6.27	10.68	15.39	1.39	2.64	3.53	19.81	13.5	32.22
638	1.35	2.01	3.34	1.31	12.29	13.63	17.15	15.48	1.11	4.81
639	10.49	4.77	6.4	14.73	9.01	3.99	1.14	19.1	3.15	14.04
640	9.51	5.18	3.84	5.1	1.13	1.9	25.97	2.98	13.37	33.81
641	21.76	3.07	2.09	7.85	3.1	2.81	1.58	1.4	6.76	19.34
642	2.83	20.03	3.15	1.03	14.24	13.43	1.18	2.25	3.7	2.87
643	24.94	20.79	18.63	18.5	23.21	22.63	2.58	1.65	23.78	17.09
644	2.44	1.96	16.82	4.58	4.25	1.29	23.39	4.04	5.8	5.99
645	14.36	17.82	3.37	2.44	8.71	2.56	32.48	2.14	11.29	16.52
646	2.3	9.23	1.25	27.72	20.37	1.8	9.26	19.86	2.75	7.78
647	0.97	9.67	7.04	2.1	13.99	5.97	6.08	4.98	6.73	4.52
648	20.47	13.3	1.77	2.69	2.25	9.78	1.3	22.72	1.95	1.93
649	12.67	7.41	32	4.4	1.62	4.78	14.93	8.98	9.79	3.32
650	27.07	1.95	7.72	8.05	1.01	8.7	6.09	7.29	15.74	1.41
651	10.91	12.47	7.64	11.91	1.52	2.45	2.68	16.35	20.09	8.5
652	17.3	3.95	1.24	4.47	5.39	4.99	32.76	1.17	6.17	2.2
653	2.88	19.46	1.62	1.71	12.34	25.47	7.2	1.44	31.19	3.91
654	4.73	3.68	2.54	1.57	26.9	12.83	13.81	2.57	22.63	11.23
655	8.36	31.78	3.52	1.72	4.08	22.2	2.12	25.73	1.36	3.23
656	1.23	5.08	3.54	21.48	1.44	26.31	16.78	15.42	2.31	1.04
657	2.05	23.53	7.9	3.39	1.24	9.31	1.88	4.44	10.05	5.44
658	7.34	8.1	1.3	2.08	23.41	4.95	2.54	4.71	15.18	3.32
659	13.22	4.35	1.67	19.96	2.22	16.05	2.5	4.85	12.3	5.86
660	22.38	1.47	20.07	11.22	10.04	1.5	2.12	17.03	4.92	8.78
661	3.32	17.56	1.32	17.9	1.33	20.33	11.82	6.44	3.74	10.46
662	14.51	5.71	16.08	28.33	5.31	23.83	16.78	24.77	5.61	21.83
663	1.31	4.4	2.96	23.09	4.27	21.24	3.52	7.42	5.5	12.97
664	7.9	27.91	14.84	1.96	2.11	2.23	5.4	8.11	2.32	11.44
665	3.06	4.3	9.96	15.98	4.55	1.39	16.2	26.19	7.33	0.89
666	8.04	1.02	28.6	5.6	2.24	8.97	21.99	1.54	3.11	2.46
667	24.76	12.56	1.9	2.46	2	9.31	7.03	1.16	4.16	2.28
