"A"	"B"	"A0"	"D"	"E"	"F"	"G"	"H"	"I"	"C"	"AA"	"AB"	"AC"
"ANGPTL1"	0	0	0	7.85714285714286	10.7	36.375	0	6.53846153846154	0	41.0714285714286	0	17.4285714285714	0
"BAIAP2L2"	0	0	0	7.35714285714286	0	0	0	0	0	0	0	0	0
"AKD1"	39.4444444444444	8.28571428571429	0	5.57142857142857	0	0	0	10.1538461538462	0.9375	2.71428571428571	29.4	0	10.3333333333333
"ARAF"	0.111111111111111	17.0714285714286	101	8.92857142857143	0	0	0	32.3076923076923	8	0	0	0.142857142857143	0
"ABCB4"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BRIX1"	29.2222222222222	5.28571428571429	39	57.5	21.9	138.875	132.454545454545	11.6153846153846	23.9375	3.85714285714286	72.2	24.5714285714286	52.3333333333333
"C12orf29"	1.66666666666667	1.92857142857143	0	7.35714285714286	0	0	0	6.92307692307692	24.875	1.5	6	0	0
"ASPG"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C15orf42"	0	0	0	0	4.2	0	0	0	0	0	0	0	0
"BAZ2A"	13.5555555555556	0	0	4.14285714285714	3.1	1.375	0	0.307692307692308	11.3125	0	11.4	0.285714285714286	23.3333333333333
"ALDH18A1"	35.2222222222222	0	35.7142857142857	62.6428571428571	22.7	28.875	0	81.9230769230769	10.375	0	94.4	133.285714285714	0
"ARHGAP6"	0	0	0	0	0	14.875	0	0	0	0	0	0	0
"ABI1"	5.22222222222222	90.5	14.1428571428571	32.2142857142857	26.8	1.375	22.3636363636364	45.4615384615385	24.625	47.0714285714286	1.8	53.2857142857143	0
"C10orf55"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C16orf80"	19.3333333333333	63.2142857142857	41.4285714285714	64.7142857142857	0	0	105.545454545455	61.6923076923077	12.25	0	54	66.8571428571429	58.6666666666667
"ARHGDIG"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARHGEF12"	29.3333333333333	5.28571428571429	114	0.857142857142857	77.3	0	85.5454545454545	0.769230769230769	4.25	26	137.6	129.142857142857	5.66666666666667
"ABCC1"	0	0	0.428571428571429	9.57142857142857	0	0	16.4545454545455	0	0.75	0	0	0	0
"ATP4A"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BMP6"	0	0	0	0	0	0	0	0	0	0	0	0	0
"AASDHPPT"	129.111111111111	79.5	77.2857142857143	84.2142857142857	224.5	19.375	0	81.3846153846154	136.0625	0	125.4	39.8571428571429	72.6666666666667
"ACAP2"	47.2222222222222	26.2142857142857	2.85714285714286	4.85714285714286	26.5	28	12.9090909090909	15.6153846153846	32.75	19.8571428571429	122.8	0.142857142857143	128.333333333333
"C10orf28"	53.8888888888889	0	0	5.21428571428571	2.5	0	0	4.76923076923077	0	0	0	2	0
"APP"	79.1111111111111	20	0.142857142857143	7.14285714285714	26.2	6.5	2.36363636363636	25.1538461538462	7.25	10.8571428571429	6	44.4285714285714	0
"C10orf122"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARMC6"	0	0.214285714285714	0	0	0	0	0	7	0	3.71428571428571	0	0	0
"BIRC8"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ALPPL2"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ATP6AP2"	297.333333333333	99.7142857142857	0.857142857142857	35.2857142857143	30.5	46.75	64.5454545454545	34.1538461538462	178	183.285714285714	31.4	119.571428571429	446.666666666667
"ANXA6"	0.333333333333333	0	0	1	12.7	3	0	0	0	0	0	4.42857142857143	0
"AP3S2"	0.111111111111111	9.07142857142857	0	0.285714285714286	0	0	0	2.92307692307692	4.1875	15	0	1	0
"ASNS"	52.7777777777778	50.5	0	15.5714285714286	45.1	0	0	2.38461538461538	0	0	467.2	0	0
"AMDHD2"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C14orf45"	13.1111111111111	0.142857142857143	0	0	0	0	0	0	12.4375	95.2142857142857	2.4	0	0
"ARPC1B"	0	0	15.4285714285714	2.28571428571429	0	0	62.2727272727273	1.53846153846154	9.875	2.21428571428571	0	0.142857142857143	73.3333333333333
"ARL17A"	4.55555555555556	0	0	10.7857142857143	0.2	22	5	7.53846153846154	7.375	16.5714285714286	0.2	0	0
"BCL2L1"	0	0	7.42857142857143	2.21428571428571	3.5	0	3.36363636363636	4.07692307692308	4.0625	1	0	2.42857142857143	0
"BOD1"	41.6666666666667	53.9285714285714	53.1428571428571	24	35.8	178.5	0	24.8461538461538	31.6875	0.714285714285714	0	40.2857142857143	0
"A2M"	0	0	4.57142857142857	0	358.4	0	1301.18181818182	0	2.4375	24.8571428571429	0	386.428571428571	0
"BMP10"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARHGAP31"	0	0	0	0	16.2	0	47.9090909090909	0	4.875	0	0	6	0
"AADACL3"	0	0	0	0	0	0	0.0909090909090909	0	0	0	0	0	0
"ASMTL-AS1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASB18"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BEX1"	322.666666666667	443.714285714286	0	83.0714285714286	0	0	0	64.2307692307692	314.1875	0	145.6	0.714285714285714	668
"ACTR10"	86.6666666666667	186.142857142857	103	36.3571428571429	5.9	0.125	162.363636363636	59.0769230769231	74.4375	51.0714285714286	143.4	219.714285714286	12.6666666666667
"C16orf93"	0	0	0	0.0714285714285714	0	22.125	0	0	0.875	0	0	0	0
"APOBEC3G"	0.111111111111111	0	0	0	0	0	0	0	0	0	0	1.28571428571429	0
"BTBD8"	0	0	0	1.92857142857143	0	0	48	0	0	0	0	0	0
"ADAL"	0	8.57142857142857	0	0	0	0	0	4.46153846153846	0.125	0	0	0	1.66666666666667
"ATP5I"	35.2222222222222	54.4285714285714	75.7142857142857	48.1428571428571	99.2	18	51.1818181818182	60.6923076923077	58.3125	42	31.2	37.7142857142857	43.3333333333333
"ANKRD5"	5.22222222222222	0.928571428571429	0	7.14285714285714	0	0	0	7.61538461538461	8.5625	0	0.6	0	0
"BACE2"	0	0	0	22.1428571428571	0	45.375	29.0909090909091	9.92307692307692	16.1875	1.92857142857143	0	5.85714285714286	0
"ARPM1"	0	0	0	16.6428571428571	0	0	0	0.461538461538462	0	0	0	0	16.6666666666667
"AGAP7"	0	0	0	0	0	0	0	0	0	0	0	0	0
"AMBN"	0	0	0	0	0	0	0	0	0	0	0	0	0
"AHNAK2"	0	0	0	0	0	0	0	0	0	0	0	0	0
"AGAP8"	0	0	0	0.0714285714285714	0	0	0	0	0	0	0	0	0
"C12orf42"	0	0	0	0	0	0	0	0	0	0	0	0	0
"AHDC1"	1.44444444444444	0.5	0	0.285714285714286	1.5	1.5	0	1.46153846153846	0.25	0	0	4.28571428571429	8.66666666666667
"ALMS1P"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ALDH1A1"	111.888888888889	584.857142857143	296.714285714286	334.857142857143	14.1	415.5	92.8181818181818	250.846153846154	126.75	334.214285714286	1222.4	78.1428571428571	723.666666666667
"ALX3"	0	0	0	0	0	0	0	0	0	0	0	0	0
"B4GALT4"	0.222222222222222	6.64285714285714	0	0.0714285714285714	0	0	0	55.3846153846154	20.375	0	0	0	0
"BRSK2"	0.111111111111111	0	0	0.571428571428571	0	0	0	0	0	0	0	0	0
"C16orf53"	0	0	1.42857142857143	8.14285714285714	5.8	2.375	0	6.07692307692308	0.125	1	0	23.4285714285714	116.666666666667
"APCDD1"	0	0	0.142857142857143	4.5	0	25.875	0	1.53846153846154	15.6875	0.214285714285714	0	43.8571428571429	0
"BANF1"	49.3333333333333	115.071428571429	90.4285714285714	65.4285714285714	192.2	21	88.1818181818182	74.4615384615385	124.0625	128.571428571429	82.2	226.285714285714	108
"ANKRD20A8P"	0	0.5	0	0.0714285714285714	0	0	0	0	0	0	1.2	0	0
"ATXN1"	0	0	2.42857142857143	0.285714285714286	16.5	7.75	0	0	0.3125	3.57142857142857	0	16.1428571428571	0
"BPIFA3"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASCC2"	0	23.5	0	6.28571428571429	0	172.625	23.8181818181818	0	7.125	2.71428571428571	14.8	1.57142857142857	0
"ANXA13"	0	0	0	0	0	0	0	0	82.4375	0	0	0	0
"ATF3"	0	0	0	25.8571428571429	0	0	0.0909090909090909	123.307692307692	0	0	0	0	0.333333333333333
"AGBL5"	10.7777777777778	36.4285714285714	0	24.7857142857143	17.5	17.5	38.4545454545455	23.6153846153846	37.75	0	71.2	36.4285714285714	0
"ASAH2"	0	0	0	0.714285714285714	0	0	0	0	0	0	0	0	0
"ADCYAP1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANP32A-IT1"	0	0	0	0	0.1	0	0	13.5384615384615	0	0	0	0	0
"BANK1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ATP6V0A4"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C12orf52"	0.666666666666667	0.142857142857143	0	11.4285714285714	0	0	0	1.61538461538462	0	0	0	0	0
"ASPSCR1"	0	5.71428571428571	0	0.714285714285714	0	0	0	0.230769230769231	0.125	0	0	0	0
"ACTR3B"	36.4444444444444	0	89.7142857142857	11.7857142857143	0.7	0	0.181818181818182	4.30769230769231	5.5	0	39.8	0	0
"ANP32A"	0.111111111111111	35.5	34.1428571428571	0.5	0.9	0	5.09090909090909	18.8461538461538	30	17.9285714285714	1	22.8571428571429	5.66666666666667
"ASF1B"	0	0	0	11.3571428571429	0	0.125	0	2.61538461538462	13	6.21428571428571	0.2	0.285714285714286	0
"ADORA1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C14orf178"	0	0	0	0	0	0	0	20.3846153846154	0	1.64285714285714	0	0	0
"AFG3L1P"	0	0	0	0.571428571428571	0	0	0	3.76923076923077	13.5	0	0.6	0	0
"C14orf109"	60.3333333333333	32.7857142857143	5	17.2142857142857	44.3	0	0	22.6153846153846	25.5625	0	0	0	0
"C15orf26"	0	0	0	0	0	0	0	0	0	0	0	0	0
"AEBP1"	0	0	32.4285714285714	0	7.3	53.625	0.727272727272727	0	0	0	0	18.5714285714286	0
"BTBD9"	63.6666666666667	0	0	0	1.7	75.125	55.8181818181818	0.0769230769230769	0	22.2142857142857	0.2	0	0
"C17orf51"	0	0	0	6.57142857142857	0	0	0	0	0	0	0	0	0
"ABCA11P"	0	3.14285714285714	0	0.0714285714285714	0	0	1.72727272727273	0	0.375	1.71428571428571	0	0	0
"BPIFB4"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ATP5S"	0	24.6428571428571	0	10.5714285714286	3.6	0	21.4545454545455	1.84615384615385	4.4375	0	25.4	0	0
"ARRB1"	0	0	83.2857142857143	0	0	7.375	0	0	0	0	0	0	0
"ATP5E"	196.777777777778	181.714285714286	35.7142857142857	52.0714285714286	76.2	41.5	138.363636363636	63.9230769230769	84	63.5714285714286	151.4	74.8571428571429	229.666666666667
"BCL7B"	12.3333333333333	0.357142857142857	47.4285714285714	0	0	0.5	0	0	7.625	0	0.8	50	0.666666666666667
"C14orf49"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ALAS1"	60.7777777777778	0	0	7.5	11.9	0	0	0	0	0	0	0	102
"BECN1"	0	0	0	5.57142857142857	0	0	0	4.76923076923077	16.25	0	0	0	24
"ANAPC7"	0	34.1428571428571	0	38.7857142857143	79.5	0	36	31.9230769230769	27	19.4285714285714	0	101.714285714286	0
"ACTR1B"	0	0.928571428571429	62.5714285714286	5.14285714285714	15.5	0	0	38.8461538461538	1.0625	10.4285714285714	0.2	6.57142857142857	0
"C10orf137"	10.2222222222222	21.0714285714286	0	27.5	0.1	13.375	0	4.69230769230769	0	30.2142857142857	10.4	0	0
"ARL5A"	22.5555555555556	0	85.8571428571429	37.8571428571429	30.4	0	7.27272727272727	37.6153846153846	40	24.7857142857143	61	31.2857142857143	0
"C17orf48"	0	0	0	2.64285714285714	22.9	0	0	0	0	0	88.6	0	0
"BLOC1S3"	2.88888888888889	16.4285714285714	17.5714285714286	0.785714285714286	0	16.875	16.2727272727273	0	26.8125	16.9285714285714	0	0	0
"ARGFX"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BIVM-ERCC5"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABCC6P1"	0.111111111111111	0	0	0	0	0	0	1.69230769230769	0.4375	0	0	0	0
"A4GALT"	0	0	0	0	1.6	0	2.63636363636364	0	0	0	0	0	0
"ACTL6B"	0	2.42857142857143	0	0	0	0	0	7.69230769230769	0	0	0	0	0
"ABCB8"	0	0	41.5714285714286	0	0	5.625	0	3.15384615384615	0	11.9285714285714	0	0	0
"ATP10D"	22.5555555555556	52.3571428571429	6.57142857142857	19.1428571428571	7.8	0	11.8181818181818	11.3076923076923	8.8125	0	39	0	0
"AVPR1B"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BCHE"	0	0	0	0	5.5	10.375	0	0	0	73.5714285714286	0	0	0
"B3GALT4"	12.3333333333333	0	0	0	0	0	0	0	0	0	36.4	0	0
"B3GALT1"	0	0	0	0	0	17.125	0	0	31.9375	0	0	0	0
"ATAD3B"	0	0	8.14285714285714	0	0	0	0	0	0	0	0	0	0
"ARTN"	0	0	0	0	0.3	0	0	0	0	0	0	0	0
"AQP6"	0	0.0714285714285714	0	0	0	0	0	0	0	0	0	0	0
"C12orf34"	9.44444444444444	0	0	2.28571428571429	0	0	0	0.153846153846154	0	0	0	0	75
"BLK"	0	0	0	0	0	0	0	0	0	0	0	0	0
"AGR2"	0	1.57142857142857	0	0	0	0	0	0	0	0	0	0	0
"C11orf1"	35.8888888888889	11.7857142857143	23.8571428571429	53.5	23.4	2.75	0	87.1538461538462	10.625	0	0	0	43.6666666666667
"ACTN3"	0	8.28571428571429	0	0	0	0	0	0	0	0	0	0	0
"BRF1"	0	0.357142857142857	129.285714285714	4.28571428571429	0	17.25	0	0	0.4375	0	0	0	0
"BAZ1B"	47.3333333333333	19.2142857142857	78.8571428571429	55.0714285714286	62.6	44.625	0.454545454545455	42.8461538461538	29.875	12.7142857142857	138.4	66.7142857142857	65.3333333333333
"ANK3"	0	1.21428571428571	0	3	125.4	62.125	0	5.07692307692308	3.3125	98.8571428571429	124.8	0	37
"ACOT8"	41.5555555555556	28.5	0	0	0	0	11.2727272727273	19.1538461538462	2.375	0	10	0	0
"BACH2"	0.111111111111111	0	0	5.35714285714286	0	0.125	3.81818181818182	0	1.3125	0	0	0	0
"ATOH1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABHD13"	45.8888888888889	188.857142857143	0.142857142857143	7.42857142857143	145	0	67.8181818181818	37.9230769230769	23.6875	6.35714285714286	141.8	0	157
"ARHGAP33"	0	1.78571428571429	0	0	0	0.125	0	0	0	0	0	0	0
"ANKRD46"	0	80	0	0	93.5	0	0	36.5384615384615	14.75	2.28571428571429	216.8	60.2857142857143	0
"ATP8B3"	0	0	0.142857142857143	0	0	0	48.6363636363636	0	0	0	0	0	0
"ACY3"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BANF2"	0	0	0	0	0	0	0	3.92307692307692	0	0	0	0	0
"AFMID"	0	0	0	0.571428571428571	0.1	0	0.0909090909090909	23.6923076923077	0	0	0	0.714285714285714	0
"BRAF"	9.44444444444444	3	0	0.857142857142857	2.1	0	16.7272727272727	5.46153846153846	0.875	0	15	0	0
"BCL10"	0	0.0714285714285714	0.142857142857143	1.64285714285714	4.9	3.625	10.3636363636364	9.30769230769231	2.375	8.21428571428571	0	0.142857142857143	0.333333333333333
"ACOT2"	0	13.5714285714286	0	0.285714285714286	29	0.375	0	7.15384615384615	4.6875	0.142857142857143	34.8	0	10
"AVIL"	0	0.714285714285714	0	0	0	0	0	0	0	0	0	0	0
"C11orf71"	1.77777777777778	26.5714285714286	0	12.3571428571429	0	0	0	36.5384615384615	3.4375	0	0	0	35.6666666666667
"AFF2"	0	0	0	0	0	0	0	0	0	0	0	0	0
"APCDD1L"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARPC2"	51.7777777777778	242.785714285714	303.857142857143	67.7857142857143	228.2	96.5	336.818181818182	51.8461538461538	67.75	344.357142857143	295.4	3.71428571428571	76
"B4GALNT3"	0	0	0	0	0	0	0	0	0.25	0	0	0	0
"ANXA2P3"	0	0	0	0	0	0.125	0.181818181818182	0	0	0	0	0	0
"ACSM1"	0	0	0.285714285714286	0.5	0	0	0	5.23076923076923	1.125	0	0	0	0
"ADM"	0	0	0	0	0	0	64.2727272727273	0	0	36.8571428571429	0	0	0
"AFP"	0	0	0	69.5	0	0	0	34.8461538461538	12.25	0	0	0	0
"AGXT"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BMP2"	0	0	0	0	0	0	0	4.92307692307692	0	0	0	0	0
"AAAS"	38.3333333333333	70.8571428571429	0	4.57142857142857	0	0	1.09090909090909	40.2307692307692	29.375	0	39	0	0
"BSG"	17.2222222222222	156.142857142857	97.2857142857143	108.642857142857	40.9	72	70.3636363636364	135.384615384615	45.5	88.5	128.2	199.285714285714	81
"C10orf54"	0	0	4.28571428571429	0	0	0	41.0909090909091	0	8.4375	0	0	0	0
"ACOT11"	0	0	0	0	0	0	6.18181818181818	0	0	0	0	0	0
"ASCL4"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ATP5J2-PTCD1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARF1"	183.666666666667	280.142857142857	240	280.428571428571	130.4	101.125	137.818181818182	186.846153846154	117.5625	217.642857142857	211.4	186.142857142857	542
"AADACL2"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ALKBH5"	37	3.35714285714286	73.4285714285714	11.8571428571429	18.7	0	0	31.7692307692308	12.125	0	10.2	6	0
"ACOT7"	0	11.1428571428571	0	0	0	0	0.909090909090909	0	16.4375	0	0	4	18
"ACPP"	0	0	0	5.35714285714286	0	0	0	0	0	0	0	0	0
"AMIGO3"	0	0	0	0	0	0	0	0	0	0	0	0	13.3333333333333
"BPIFB2"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BCL2L2-PABPN1"	0	0	0	0	0	0.75	0	0	0	0	0	0	0
"ADTRP"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ATOX1"	16.4444444444444	67.2857142857143	83	32	55.7	7.75	129.090909090909	14.6153846153846	65.5625	43.3571428571429	2.4	95.7142857142857	65.3333333333333
"C16orf11"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C15orf57"	34.7777777777778	0	94.5714285714286	17.5714285714286	0	0	63.8181818181818	0	0	0	21.2	0	0
"AGPHD1"	0	0	0	0	0	3.875	0	0	0	0	0	13.5714285714286	0
"BAG6"	13.1111111111111	9.35714285714286	8.42857142857143	34.0714285714286	0	25.125	2.36363636363636	22.5384615384615	26.125	57.5	0	59.5714285714286	0
"BFAR"	0	14.5	46	9.42857142857143	0	2.25	0	13.8461538461538	0.125	83	0	3.71428571428571	0
"APLP2"	27.5555555555556	33.4285714285714	154.857142857143	82.2142857142857	4	169	0.0909090909090909	117.615384615385	128.9375	5.92857142857143	5.6	4.85714285714286	50
"ANKRD42"	0.222222222222222	0	0	0	0	0	0	0	0	0	0	0	0
"ARL10"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARAP3"	0	0	27.5714285714286	0	0	2.25	9.18181818181818	0	2.0625	12.4285714285714	0	16.1428571428571	0
"ASPA"	0	0	0	0	0	49	0	0	0	48.7857142857143	0	0	0
"AKAP11"	67.2222222222222	12.0714285714286	0	7.5	0	86.625	0	24.4615384615385	20.5625	12.3571428571429	43.2	0	91
"ANKFN1"	0	0	0	0	0	0	0	0	0	0	0	28.2857142857143	0
"C10orf76"	0	0	0	0	0.1	0	0	0.615384615384615	5.875	0	0	0	0
"ATG4D"	0	17.4285714285714	0	6.85714285714286	0	0	0	0	0	0	0	101.571428571429	0
"ADD3"	6.33333333333333	0	0	108.357142857143	81.5	148.625	0	114.307692307692	8	53.9285714285714	39.4	182	0
"ALPK3"	6.11111111111111	33.5	0	1.71428571428571	0	0	0.272727272727273	0	3.6875	0	0	0	0
"A2LD1"	0	0	0	0	0	0	0	7.61538461538461	0	0	0	0	0
"ANKRD13A"	0	37.0714285714286	0	15.6428571428571	23.2	13	16.2727272727273	43	0.1875	0	72.4	0	36
"AKAP2"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANGPTL2"	1	0	1.14285714285714	0	0	23.5	0	0	0	20.2142857142857	0	0	0
"ATP6V1G2-DDX39B"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ATP1B4"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACP6"	21.4444444444444	0	0	38.1428571428571	0	0	0	0	17.5625	0	0	0	95
"ATG16L2"	0	0	0	0	0	3.25	0	0	0.3125	12.4285714285714	0	0	0
"C17orf103"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C10orf82"	0	9.07142857142857	0	0	0	0	0	0.461538461538462	10.9375	0	0	0	0
"BBS7"	15.8888888888889	1.64285714285714	46	2.92857142857143	0	11	0	2.61538461538462	4.3125	0	0	0	0
"C12orf61"	0	0	0	2.07142857142857	0	0	0	0	0	0	0	0	0
"AUP1"	38.2222222222222	17.3571428571429	73.4285714285714	29.0714285714286	11.9	12.625	37.1818181818182	39.9230769230769	77.0625	38.9285714285714	1	66.1428571428571	0
"AREG"	0	0	0	0	0	0	0	0.153846153846154	0	0	0	0	0
"ANG"	0	0	52.2857142857143	0	41.7	49.25	0	0	0	0	0	0	0
"ANXA8"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BTNL2"	0	0	0	0	0	0	0	0	0	0	0	0	0
"APOC1P1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANKRD18B"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ADAMTS8"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABTB2"	0	0	0	0	0	0	0.0909090909090909	0	4.875	0	0	0	0
"C14orf23"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BMS1P4"	0.333333333333333	7.42857142857143	33.1428571428571	0.142857142857143	0	34.25	0	0	0	0	0	14.1428571428571	3.66666666666667
"AP3D1"	0	7.35714285714286	0	0	11.3	4.75	2.09090909090909	0	12.5	0	0	26.5714285714286	0
"ABHD1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"AP2A1"	0.888888888888889	9.92857142857143	5.85714285714286	5.35714285714286	0	3.125	11.1818181818182	0.384615384615385	3	20.2857142857143	1.4	3.28571428571429	0
"ARMC9"	13.1111111111111	1.64285714285714	0	7.35714285714286	50.8	0.875	0	0	0.0625	0	0.2	0	0
"ASTL"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BGLAP"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACER1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"C13orf15"	0	11.4285714285714	0	0.0714285714285714	0	0	393.090909090909	0	13.8125	1.57142857142857	0	0	0
"APOH"	0.111111111111111	0	0	16.4285714285714	0	0	0	2.53846153846154	79.9375	0	0	0	73
"ACTL6A"	119.222222222222	248.071428571429	0	30.4285714285714	127.8	0	64.2727272727273	31.9230769230769	63.125	38.0714285714286	10.6	121.142857142857	0
"ANXA2"	0.111111111111111	39.4285714285714	51.4285714285714	125.857142857143	778.8	61.5	1024.27272727273	312.307692307692	565.5	326.142857142857	0	373	111
"AGGF1"	0.222222222222222	0	0	35.8571428571429	0.2	5	0.545454545454545	16.2307692307692	25.875	22.1428571428571	0.2	18.2857142857143	73.3333333333333
"ACSBG2"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ALKBH3"	5.22222222222222	0	0	6.5	0	39.875	0	31.2307692307692	12.875	10.5	101.6	0	0
"BCL2L15"	0	0	0	31.4285714285714	0	0	0	0	0	0	0	0	0
"AGAP9"	0	0	0	0	0	0	0	0	0	0	0	0.142857142857143	0
"C15orf55"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABCA10"	0	0	0	0	0	28.875	0	4.84615384615385	0	6.57142857142857	0	0	0
"ANKRD50"	25.4444444444444	3.57142857142857	0	20	190.2	12.25	57.0909090909091	61.0769230769231	33.5625	20.5714285714286	10.6	0	0
"ADGB"	0	2.35714285714286	0	0	0	0	0	0	0	0	0	0	0
"ANKK1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANTXR2"	0	0.0714285714285714	0	4.5	29	147	0	1.76923076923077	1.1875	88.5	0	56.8571428571429	38.3333333333333
"ATP2C1"	5.77777777777778	23.4285714285714	89.4285714285714	21.0714285714286	19	0	44.8181818181818	28.6923076923077	35.5625	59.3571428571429	65	57.5714285714286	0
"BCL2A1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"APOBEC3C"	0	0	48.7142857142857	9.71428571428571	0	6.125	0	2.69230769230769	0	21.2857142857143	0	0	0
"ARFGEF1"	10.3333333333333	15.2142857142857	25.4285714285714	0.928571428571429	85.1	0.125	32.7272727272727	17.3846153846154	17.5625	7.64285714285714	20.2	66.2857142857143	0
"ATP6V1G3"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACSL1"	38.1111111111111	41.2142857142857	0	0	0	0	0.0909090909090909	0	0	0	25	0	2139
"B3GALT2"	68.8888888888889	12.9285714285714	0	0	0	0	0	0	2	0	15.2	0	0
"AKR1C2"	18.2222222222222	0	0.142857142857143	14.0714285714286	0	0	0	0	2.75	0	0	0	1.66666666666667
"AHCYL2"	0	0	0	3.07142857142857	0	0	19.5454545454545	15.4615384615385	2.25	0	0	0	0
"ALG14"	15.2222222222222	9.07142857142857	38.7142857142857	35.9285714285714	0	26.25	0	22.6153846153846	8.6875	7.92857142857143	94.8	59.7142857142857	0
"ABHD14B"	25.5555555555556	0.5	0.571428571428571	6.71428571428571	2.1	0.125	0.0909090909090909	0.307692307692308	8.6875	52.8571428571429	0	0	0
"BIRC3"	0	0	0	0	9.2	0	0	0	0	0	0	0	0
"BEGAIN"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABHD16A"	66.1111111111111	22	82.8571428571429	16.8571428571429	0	0	0	0	1.8125	36.1428571428571	0	3.28571428571429	0
"ALG1L"	0	0	0	0	0	0	0.0909090909090909	0	0	0	0	0	0
"ABHD11"	16.2222222222222	0	4.14285714285714	67.6428571428571	10.5	0	0	42.9230769230769	34.8125	0.428571428571429	0	50.4285714285714	0
"ATL3"	11.4444444444444	0	0	1.64285714285714	0	0	2.09090909090909	9.38461538461539	0	1.35714285714286	0	0	0.333333333333333
"APEX1"	57.5555555555556	239.071428571429	31.1428571428571	54.9285714285714	162.1	77.5	87.3636363636364	157.615384615385	152.6875	193.928571428571	181.8	354.142857142857	0
"APITD1-CORT"	0	5.35714285714286	0	0.285714285714286	2.2	0	0	0	0	0	0	0	0
"BUB3"	41.1111111111111	169.5	0	120.785714285714	47.4	121.5	9.36363636363636	25.6153846153846	88.5	149	14.4	209.714285714286	267
"ADCY8"	0	0	0	0	0	0	0	0	0	0	0	0	0
"BNC1"	0	0	0	0	0	0	0	0	0	0	0	0	0
"APBA2"	0	0	0	0	0	0	0	0	0	0	0	0	0
"ABHD10"	10.8888888888889	32.4285714285714	0	5.71428571428571	0	24.75	34	14.1538461538462	42.4375	18.6428571428571	71.4	0	109.666666666667
"ACOT1"	0	2.78571428571429	0	0	4.1	0	0	1	0.8125	0	0	0	0
"AKAP4"	0	0	0	0	0	0	0	0	0	0	0	0	0
"APAF1"	0.333333333333333	0	0	1	0	0.625	2.72727272727273	0	2.25	0.142857142857143	0	0	0
"BHMT"	0	18.8571428571429	0	0	0	0	0	0	0	0	25.4	0	0
"BBS2"	11.7777777777778	23.4285714285714	0	14.8571428571429	0	0	81.8181818181818	44.0769230769231	88.125	0.571428571428571	0	0	54.6666666666667
